acousticness,energy,loudness,target
0.219,0.822,-4.662,1
0.0438,0.609,-6.033,1
0.135,0.571,-5.206,1
0.109,0.752,-6.637,1
0.29,0.745,-7.072,1
0.43,0.464,-5.624,1
0.668,0.524,-12.072,1
0.206,0.937,-2.947,1
0.417,0.616,-5.281,1
0.0948,0.707,-1.868,1
0.154,0.673,-2.74,1
0.0953,0.684,-5.037,1
0.00839,0.698,-7.206,1
0.268,0.693,-6.508,1
0.0613,0.66,-4.972,1
0.314,0.75,-5.926,1
0.0379,0.779,-1.829,1
0.0469,0.778,-5.367,1
0.0292,0.966,-1.994,1
0.0709,0.792,-4.023,1
0.0157,0.807,-4.602,1
0.0516,0.893,-4.285,1
0.132,0.712,-3.923,1
0.0642,0.745,-3.105,1
0.177,0.795,-2.469,1
0.0835,0.923,-5.581,1
0.0144,0.783,-5.084,1
0.0263,0.911,-4.623,1
0.332,0.82,-4.865,1
0.038,0.983,-4.374,1
0.17,0.611,-9,1
0.0116,0.869,-11.97,1
0.233,0.546,-4.823,1
0.0454,0.833,-3.715,1
0.0627,0.69,-4.948,1
0.194,0.593,-5.816,1
0.223,0.518,-6.594,1
0.66,0.479,-5.339,1
0.026,0.496,-7.984,1
0.11,0.624,-3.046,1
0.256,0.919,-3.18,1
0.053,0.77,-8.184,1
0.502,0.758,-5.375,1
0.213,0.632,-4.011,1
0.48,0.721,-6.922,1
0.0244,0.851,-3.821,1
0.183,0.525,-6.832,1
0.133,0.629,-5.568,1
0.0167,0.626,-6.351,1
0.504,0.475,-7.574,1
0.207,0.665,-5.339,1
0.296,0.578,-7.176,1
0.0598,0.773,-4.378,1
0.191,0.889,-3.945,1
0.0273,0.778,-6.346,1
0.194,0.809,-4.057,1
0.193,0.904,-2.729,1
0.328,0.621,-7.14,1
0.59,0.655,-5.965,1
0.119,0.455,-4.296,1
0.0553,0.618,-7.322,1
0.132,0.719,-6.212,1
0.106,0.792,-5.053,1
0.00646,0.847,-6.662,1
0.0641,0.896,-2.951,1
0.0384,0.791,-4.689,1
0.0392,0.843,-4.311,1
0.124,0.833,-7.219,1
0.0238,0.912,-3.713,1
0.298,0.892,-3.001,1
0.134,0.875,-3.682,1
0.173,0.608,-6.152,1
0.0505,0.885,-4.944,1
0.195,0.866,-5.575,1
0.0519,0.884,-5.12,1
0.0206,0.773,-5.946,1
0.368,0.508,-6.989,1
0.0884,0.818,-4.421,1
0.723,0.42,-9.85,1
0.869,0.222,-15.76,1
0.211,0.48,-7.537,1
0.04,0.918,-2.77,1
0.445,0.708,-7.398,1
0.274,0.877,-3.392,1
0.166,0.633,-7.688,1
0.00843,0.547,-8.238,1
0.068,0.67,-3.977,1
0.235,0.701,-3.541,1
0.0774,0.742,-5.075,1
0.39,0.631,-7.91,1
0.0643,0.776,-6.096,1
0.0115,0.921,-5.338,1
0.00428,0.841,-6.053,1
0.0028,0.662,-4.797,1
0.00403,0.767,-4.537,1
0.00947,0.888,-5.119,1
0.00178,0.645,-5.863,1
0.191,0.889,-3.945,1
0.507,0.648,-7.702,1
0.0456,0.754,-7.467,1
0.0421,0.742,-6.143,1
0.0624,0.856,-3.463,1
0.00396,0.89,-5.99,1
0.11,0.677,-7.355,1
0.00801,0.609,-7.223,1
0.0123,0.83,-5.715,1
0.00701,0.866,-3.804,1
0.127,0.748,-9.072,1
0.132,0.599,-9.249,1
0.0647,0.8,-5.384,1
0.0395,0.867,-5.881,1
0.0038,0.783,-5.697,1
0.00112,0.698,-4.667,1
0.0873,0.766,-6.375,1
0.00189,0.951,-8.406,1
0.0819,0.895,-7.189,1
0.00937,0.931,-3.15,1
0.0227,0.775,-9.571,1
0.0313,0.909,-3.977,1
0.0778,0.887,-3.757,1
0.018,0.902,-7.638,1
0.009,0.787,-2.494,1
0.0549,0.714,-4.987,1
0.0048,0.709,-5.006,1
0.358,0.87,-6.514,1
0.105,0.777,-5.194,1
0.141,0.832,-5.039,1
0.00379,0.783,-3.724,1
0.284,0.824,-5.892,1
0.0466,0.882,-2.862,1
0.706,0.566,-6.511,0
0.244,0.663,-4.788,0
0.215,0.93,-3.131,0
0.128,0.664,-5.698,0
0.8,0.267,-9.249,0
0.49,0.474,-5.894,0
0.947,0.0485,-13.918,0
0.604,0.575,-4.858,0
0.443,0.53,-5.507,0
0.435,0.565,-5.848,0
0.666,0.652,-5.552,0
0.866,0.355,-7.126,0
0.82,0.352,-7.136,0
0.826,0.321,-7.853,0
0.65,0.446,-4.836,0
0.843,0.359,-6.892,0
0.79,0.347,-9.542,0
0.949,0.179,-10.906,0
0.733,0.377,-6.213,0
0.64,0.372,-8.237,0
0.89,0.308,-8.148,0
0.761,0.296,-9.154,0
0.758,0.265,-7.812,0
0.802,0.621,-9.694,0
0.947,0.203,-11.553,0
0.786,0.528,-8.956,0
0.892,0.127,-15.996,0
0.356,0.438,-5.968,0
0.41,0.629,-7.755,0
0.969,0.115,-15.097,0
0.000564,0.846,-6.904,0
0.956,0.374,-5.933,0
0.919,0.19,-11.138,0
0.269,0.743,-4.08,0
0.939,0.201,-10.866,0
0.456,0.454,-8.366,0
0.839,0.267,-6.502,0
0.615,0.512,-9.261,0
0.328,0.621,-7.14,0
0.213,0.503,-5.934,0
0.0102,0.725,-6.127,0
0.0115,0.805,-4.284,0
0.112,0.779,-4.839,0
0.672,0.452,-8.828,0
0.0717,0.637,-4.83,0
0.569,0.474,-8.742,0
0.353,0.418,-7.137,0
0.196,0.704,-8.056,0
0.0415,0.524,-8.39,0
0.173,0.608,-6.152,0
0.131,0.637,-4.904,0
0.183,0.686,-5.019,0
0.53,0.397,-6.681,0
0.875,0.396,-9.162,0
0.666,0.221,-10.576,0
0.297,0.512,-8.103,0
0.257,0.583,-7.091,0
0.0505,0.885,-4.944,0
0.97,0.0992,-13.262,0
0.146,0.638,-5.562,0
0.59,0.375,-10.06,0
0.504,0.596,-4.95,0
0.273,0.35,-12.52,0
0.788,0.431,-7.522,0
0.941,0.409,-5.592,0
0.0211,0.683,-6.179,0
0.512,0.63,-5.767,0
0.542,0.726,-4.74,0
0.948,0.328,-6.873,0
0.752,0.312,-11.715,0
0.0951,0.486,-6.547,0
0.731,0.323,-9.581,0
0.0216,0.698,-5.57,0
0.163,0.287,-9.732,0
0.658,0.172,-8.669,0
0.821,0.34,-7.509,0
0.686,0.344,-8.651,0
0.0947,0.746,-5.482,0
0.63,0.379,-8.573,0
0.704,0.357,-8.423,0
0.016,0.816,-4.684,0
0.357,0.287,-9.808,0
0.959,0.0911,-17.665,0
0.715,0.344,-12.577,0
0.907,0.257,-12.358,0
0.309,0.407,-7.445,0
0.164,0.417,-8.74,0
0.0846,0.455,-8.303,0
0.845,0.263,-14.029,0
0.922,0.264,-7.064,0
0.883,0.161,-22.32,0
0.313,0.292,-15.523,0
0.907,0.172,-10.636,0
0.774,0.295,-9.773,0
0.731,0.442,-7.224,0
0.908,0.085,-19.387,0
0.631,0.403,-8.339,0
0.735,0.262,-15.73,0
0.869,0.225,-13.865,0
0.576,0.436,-9.321,0
0.845,0.214,-12.518,0
0.828,0.107,-15.465,0
0.851,0.219,-11.216,0
0.835,0.242,-12.238,0
0.801,0.119,-20.156,0
0.798,0.085,-22.069,0
0.828,0.315,-11.028,0
0.367,0.322,-10.687,0
0.0339,0.54,-10.484,0
0.372,0.339,-11.917,0
0.396,0.208,-16.725,0
0.427,0.28,-12.87,0
0.0425,0.574,-7.016,0
0.701,0.207,-13.155,0
0.791,0.313,-13.138,0
0.00183,0.585,-6.957,0
0.0364,0.643,-7.36,0
0.948,0.157,-13.791,0
0.949,0.0744,-16.092,0
0.202,0.479,-6.786,0
0.0173,0.419,-8.8,0
0.134,0.2,-13.569,0
0.318,0.524,-11.64,0
0.9,0.201,-9.903,0
0.925,0.238,-10.18,0
0.68,0.296,-18.09,0
0.546,0.441,-11.999,0
0.399,0.583,-8.451,0
0.418,0.224,-15.312,0
0.625,0.528,-6.265,0
